"STATISTIC","Statistic Label","TLIST(M1)","Month","C04199V04971","Time Bands","UNIT","VALUE"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","100","00:00  <  00:30","%","54"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","110","00:30  <  01:00","%","55"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","120","01:00  <  01:30","%","56"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","130","01:30  <  02:00","%","56"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","140","02:00  <  02:30","%","56"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","150","02:30  <  03:00","%","56"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","160","03:00  <  03:30","%","56"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","170","03:30  <  04:00","%","55"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","180","04:00  <  04:30","%","55"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","190","04:30  <  05:00","%","54"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","200","05:00  <  05:30","%","53"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","210","05:30  <  06:00","%","53"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","220","06:00  <  06:30","%","51"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","230","06:30  <  07:00","%","50"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","240","07:00  <  07:30","%","49"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","250","07:30  <  08:00","%","47"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","260","08:00  <  08:30","%","47"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","270","08:30  <  09:00","%","47"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","280","09:00  <  09:30","%","46"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","290","09:30  <  10:00","%","46"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","300","10:00  <  10:30","%","46"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","310","10:30  <  11:00","%","45"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","320","11:00  <  11:30","%","45"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","330","11:30  <  12:00","%","45"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","340","12:00  <  12:30","%","45"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","350","12:30  <  13:00","%","46"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","360","13:00  <  13:30","%","46"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","370","13:30  <  14:00","%","47"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","380","14:00  <  14:30","%","46"
